time,version,question,rewrite_latency_sec,strict_json_ok,num_queries,robust_queries,violations,retrieval_latency_sec,relevance_proxy,explain_latency_sec,hallucination_proxy_rate,hallucination_ooc_examples
2026-01-07T04:10:40,A,中華隊棒球集訓名單有哪些人？,9.96,False,3,中華隊棒球|集訓名單|選手,too_short_keyword,0.604,1.0,10.045,0.909,根據提供的資訊|中華隊棒球集訓名單中|包含了王建民|以及曾豪駒的團隊資訊|已知將會參與集訓的選手有古林睿煬和徐若熙|此外|中信銀行在|經典賽中扮演中華隊最重要的支持角色
2026-01-07T04:10:49,A,中華隊棒球集訓名單有哪些人？,1.794,False,3,中華隊棒球|集訓名單|選手,too_short_keyword,0.001,1.0,7.497,0.714,根據提供的資訊|年世界棒球經典賽名單尚未公開|但是部分球員已於春訓開始並在集訓中|可以參考|文章獲得相關資訊
2026-01-07T04:11:01,A,中華隊棒球集訓名單有哪些人？,1.735,False,3,中華隊棒球|集訓名單|選手,too_short_keyword,0.002,1.0,10.391,0.833,根據提供的信息|中華隊棒球集訓名單中|可以參考|的資訊|例如|徐若熙等選手已確定會參加集訓|文中提到中華隊將在|年世界棒球經典賽征戰
2026-01-07T04:11:11,A,中華隊棒球投手群近況（傷兵、調整狀況）,1.94,False,3,中華隊投手|棒球傷兵|棒球調整狀況,too_short_keyword,0.002,0.0,7.669,0.714,中華隊棒球投手群目前在調整狀態下|陳傑憲在今年球季身體狀況不佳|中華隊準備迎接|以及美國史上最強投手陣|但能否發揮還需看球隊限制
2026-01-07T04:11:23,A,中華隊棒球投手群近況（傷兵、調整狀況）,1.818,False,3,中華隊投手|棒球傷兵|棒球調整狀況,too_short_keyword,0.002,0.0,10.195,0.643,陳傑憲目前在球季身體狀況不佳|對於明年|是否能參與仍然在規劃中|將於今年春天舉辦|中華隊積極準備好最強戰力|目標是延續世界|也持續更新有關球員名單及相關消息|美國史上最強投手陣的表現與球隊限制息息相關
2026-01-07T04:11:34,A,中華隊棒球投手群近況（傷兵、調整狀況）,1.932,False,3,中華隊投手|棒球傷兵|棒球調整狀況,too_short_keyword,0.002,0.0,9.224,0.643,根據提供的資訊|陳傑憲目前因身體狀況不佳|對於明年|的參賽未確定|然而|中華隊的棒球選手們持續進行調整和預備工作|的戰力準備|的投手陣容也相當強大
2026-01-07T04:11:49,A,富邦悍將 最近有什麼新聞（交易/傷兵/戰績）,2.129,False,3,富邦悍將 news|富邦悍將 trade|富邦悍將 injury,,0.002,0.0,12.923,1.0,富邦悍將最近在賽季末期完成了外籍洋投魔力藍和鈴木駿輔的續約|他們積極佈局新球季外籍戰力|並在官方宣佈中確認這兩位選手將繼續為球隊打拼
2026-01-07T04:12:04,A,富邦悍將 最近有什麼新聞（交易/傷兵/戰績）,2.657,False,3,富邦悍將 news|富邦悍將 trade|富邦悍將 injury,,0.004,0.0,11.985,1.0,富邦悍將最近的新聞主要圍繞著在新年時宣布了魔力藍和鈴木駿輔的續約|他們將繼續為球隊披上悍將戰袍|並攜手取得更多勝利
2026-01-07T04:12:17,A,富邦悍將 最近有什麼新聞（交易/傷兵/戰績）,2.238,False,3,富邦悍將 news|富邦悍將 trade|富邦悍將 injury,,0.001,0.0,11.502,1.0,富邦悍將最近在|offseason|的時間裡積極佈局新球季的戰力|他們宣布與洋投魔力藍和日籍投手鈴木駿輔完成續約|兩人將繼續為球隊打拼
2026-01-07T04:12:29,A,味全龍 新洋投 近況,1.759,False,3,味全龍|新洋投|近況,too_short_keyword,0.003,0.0,9.347,0.714,根據提供的資訊|味全龍最近積極調整戰力版圖|目標是強化先發輪值的深度|並鎖定|這位前大聯盟投手
